제목,도로명주소,지역,위도,경도,인기점수
새로나분식,제주특별자치도 서귀포시 중앙로42번길 24,서귀포시,33.248577,126.56425,1544
추가네,제주특별자치도 제주시 서사로 176(오라일동),제주시,33.496532,126.51957,2242
아지 함덕점,제주특별자치도 제주시 조천읍 조함해안로 490,제주시,33.54256,126.66524,1724
마린보이횟집,제주특별자치도 제주시 어영길 10,제주시,33.5191024,126.4941597,7226
흑염소마루,제주특별자치도 서귀포시 남원읍 태위로663번길 1-1,서귀포시,33.27901,126.71733,6148
낭뜰에쉼팡,제주특별자치도 제주시 조천읍 남조로 2343,제주시,33.4735321,126.6571882,26031
장승포식당,제주특별자치도 서귀포시 성산읍 동류암로 32,서귀포시,33.449215,126.91693,5265
한림칼국수,제주특별자치도 제주시 한림읍 한림해안로 139,제주시,33.4155701,126.2615642,39721
제대가는길,제주특별자치도 제주시 제주대학로 75-1,제주시,33.459724,126.5585,7265
밤수중 협재점,제주특별자치도 제주시 한림읍 한림로 475,제주시,33.4020165,126.251045,466
섯동네해녀의집,제주특별자치도 제주시 우도면 연평리 2515-5,제주시,33.502247,126.943825,3535
바이닐 제주,제주특별자치도 제주시 한림읍 한림로 470,제주시,33.4014295,126.2510304,676
와토커피,제주특별자치도 서귀포시 대정읍 동일하모로 238,서귀포시,33.2254,126.25662,6230
중문별장,제주특별자치도 서귀포시 천제연로 337,서귀포시,33.2522085,126.440396,201
커피잇수다,제주특별자치도 서귀포시 성산읍 일출로 280,서귀포시,33.462593,126.93484,1600
나루면빨,제주특별자치도 제주시 애월읍 고내로9길 44-2,제주시,33.466644,126.3384,2288
이스트엔드,제주특별자치도 제주시 구좌읍 종달로1길 123,제주시,33.496372,126.908394,1394
황궁쟁반탐라원,제주특별자치도 제주시 원노형6길 7(노형동),제주시,33.485336,126.483,5033
금뽕똘향토음식점,제주특별자치도 제주시 번영로 500 (봉개동),제주시,33.489517,126.5954,8561
제라한보쌈,제주특별자치도 제주시 정존1길 33,제주시,33.4833202,126.4704267,9099
대광장식당,제주특별자치도 서귀포시 중앙로 79,서귀포시,33.2516803,126.5610421,5540
미원,제주특별자치도 제주시 원노형6길 10,제주시,33.48518,126.48274,1450
강해일횟집,제주특별자치도 서귀포시 표선면 표선당포로 14,서귀포시,33.325714,126.84444,5735
한라앤탐,제주특별자치도 서귀포시 남원읍 위미중앙로300번길 8,서귀포시,33.272984,126.67426,9510
괸당네식당,제주특별자치도 서귀포시 성산읍 독자봉로 2,서귀포시,33.383244,126.876884,4189
비원,제주특별자치도 제주시 수목원길 3,제주시,33.470055,126.4862,2847
대담 애월본점,제주특별자치도 제주시 애월읍 일주서로 7035,제주시,33.4825562,126.4013287,964
도두해녀의집,제주특별자치도 제주시 도두항길 16,제주시,33.5062012,126.4666854,33476
솔지식당 시청점,제주특별자치도 제주시 광양13길 14,제주시,33.4991033,126.5318381,654
동도원,제주특별자치도 서귀포시 이어도로 189,서귀포시,33.2395395,126.4418614,9903
